"Data Source","World Development Indicators",

"Last Updated Date","2023-03-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Armenia","ARM","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.1025641026","4.1308814241","4.1629267387","4.1994881097","4.2415925576","4.2906040592","4.3490821231","4.4190608054","4.4239724641","4.4207371463","4.4235695986","4.4216483905","4.8891250443","5.9409990822","7.2539425203","8.9389197375","7.7973748975","7.8952737164","4.1766796412","6.0325231684","3.3455657492","3.4339622642","4.2648083624","4.7899778924","4.0488656195","","",
"American Samoa","ASM","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","20.1530612245","20.293398533","20.4225352113","20.5417607223","20.652173913","20.7547169811","20.8502024291","20.939334638","21.0227272727","21.1009174312","20.9507042254","21.2435233161","21.3087248322","21.3703099511","21.4285714286","21.4862681745","21.5384615385","21.5859030837","21.6292134831","21.668909825","21.7054263566","21.7391304348","21.7391304348","21.7391304348","21.7391304348","21.7391304348","21.7391304348","21.7391304348","21.7391304348","","",
"Australia","AUS","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.2626728111","10.7472902233","11.2670835084","11.8260267474","12.4287160902","13.666150194","15.0808884014","16.7139786358","18.6201991465","18.8222384784","20.4409118176","16.7800736625","12.7557220984","14.2864806867","15.9723023658","20.9249042803","15.5930544313","15.2852216881","18.2299165857","","",
"Austria","AUT","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","80.6055891329","79.3398864803","78.1091806217","76.9120398535","75.7471095157","74.6131068775","75.613887004","76.5898788249","77.5419920456","78.4710923959","79.3780042552","78.9452549859","78.4955921286","78.0280043426","77.5413980174","77.0345887333","77.736423617","78.4007025054","78.722065702","79.041361071","79.0575516499","79.0740062254","79.0907313076","79.1715724719","79.2538987206","79.3377513553","79.4231732235","79.5102087919","79.5989042229","78.3677979594","77.1741931789","77.1741931789","77.1741931789","77.1741931789","77.1741931789","77.1741931789","77.1741931789","77.1741931789","77.1741931789","77.1741931789","","",
"Azerbaijan","AZE","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.2868781632","24.6365105008","20.141062617","20.1767072874","21.9377748722","23.2061947115","31.0689476615","36.3719919786","33.9079166479","34.5492319064","28.5858916714","30.0948703191","27.4725754993","26.7119195406","27.4586582958","25.1670741646","25.3772933728","20.8400801744","21.8750270195","21.3174181389","25.9732664996","24.3418896341","25.8191176956","5.2100265207","5.6070045462","4.8514851485","4.347826087","4.5035742653","","",
"Burundi","BDI","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","1.1424731183","2.0286396181","2.7360515021","3.3138401559","3.7946428571","4.2009884679","4.5489296636","4.85021398","5.1136363636","5.3459119497","5.5522565321","5.7367829021","5.9027777778","5.7956846589","5.6874034546","5.5779142837","5.4671968191","5.3552302749","5.3552302749","5.3552302749","5.3552302749","5.3552302749","5.3552302749","5.3552302749","5.3552302749","5.3552302749","5.3552302749","5.3552302749","5.3552302749","5.3552302749","5.3552302749","5.3552302749","","",
"Belgium","BEL","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","85.0008305188","85.3709697419","85.7454179914","86.1242509538","86.5075460991","86.8953827327","87.2878420506","87.6850071961","88.0869633183","88.493797633","88.9055994861","89.3224604186","89.7444742345","90.1717370714","90.6043474735","91.042406467","89.7805044821","88.4265279584","88.8128611077","89.2044356185","89.6013588832","89.0875462392","88.5129118433","88.2878439386","88.1130421858","87.8807801885","87.7712109793","87.6586299519","87.9126293316","87.5708097301","86.7454994705","85.8161350844","84.7617140569","83.4476843911","82.3515769944","80.3705558338","80.9822288371","79.0058351957","81.3918927501","81.3918927501","","",
"Benin","BEN","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","13.6363636364","13.8807237573","14.105403937","14.3126895804","14.5045254119","14.6825766757","14.8461400036","14.9986957656","15.1413189771","15.2749490835","16.240333135","17.2497718284","18.3063511831","19.413452343","20.5747877204","21.7944425845","23.0769230769","21.6271884655","20.3488372093","19.2131747484","18.1975736568","17.2839506173","16.4576802508","15.7068062827","15.0214592275","14.3934201508","13.8157894737","13.2827324478","12.7892813642","12.3311802701","11.9047619048","12.5523012552","12.8205128205","12.8205128205","12.8205128205","","",
"Burkina Faso","BFA","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0.2530079838","0.4825219816","0.6916692284","0.8830455259","1.0588235294","1.2208355941","1.850783489","2.2914162819","2.3391653988","2.4239380402","2.504246667","2.5804348371","2.6528117359","2.6528117359","2.6528117359","2.6528117359","2.6528117359","2.6528117359","2.6528117359","2.6528117359","2.6528117359","2.6528117359","2.6528117359","2.6528117359","2.6528117359","2.6528117359","2.6528117359","","",
