"Data Source","World Development Indicators",

"Last Updated Date","2023-03-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Armenia","ARM","Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)","ER.H2O.FWDM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.5726495726","29.5935183639","29.6171345446","29.6440788874","29.6751082675","29.7112278841","29.7581217008","29.8142379139","29.823850982","29.8212438006","29.8206660974","29.8195967457","28.1608218208","29.3808837026","30.9037582903","32.8581524483","24.7292863002","20.4182250935","18.3144356067","19.0592760972","14.9541284404","16.6729559748","23.3449477352","25.865880619","21.4659685864","","",
"American Samoa","ASM","Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)","ER.H2O.FWDM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)","ER.H2O.FWDM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60","60.3316326531","60.6356968215","60.9154929577","61.1738148984","61.4130434783","61.6352201258","61.8421052632","62.0352250489","62.2159090909","62.3853211009","61.8838028169","62.6943005181","62.8355704698","62.969004894","63.0952380952","63.0048465267","62.9230769231","62.8487518355","62.7808988764","62.7187079408","62.661498708","62.6086956522","62.6086956522","62.6086956522","62.6086956522","62.6086956522","62.6086956522","62.6086956522","62.6086956522","","",
"Australia","AUS","Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)","ER.H2O.FWDM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.4746543779","20.8912154347","21.3380125053","21.8184615779","22.3365133507","23.7402095268","25.3450324468","27.1975452472","29.359886202","27.3445501097","24.4451109778","23.3722454585","21.5667409358","22.3551502146","23.1679169071","22.999761362","14.9927547464","14.7651375529","23.4029215905","","",
"Austria","AUT","Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)","ER.H2O.FWDM.ZS","","","","","","","","","","","","","","","","","","","","","16.7015738137","17.3560058058","17.9923426936","18.6113247397","19.2136523718","19.7999888262","19.4209518766","19.0513032865","18.690698513","18.3388096681","17.9953245252","18.3777272119","18.775075739","19.1882637864","19.6182577328","20.0661042011","19.4439745108","18.8551356988","18.5426297218","18.2321345803","18.193895158","18.1550322201","18.1155303912","18.0899603633","18.0639206038","18.0373980491","18.0103791464","17.982849831","17.9547955017","19.3069756791","20.6179662667","20.6179662667","20.6179662667","20.6179662667","20.6179662667","20.6179662667","20.6179662667","20.6179662667","20.6179662667","20.6179662667","","",
"Azerbaijan","AZE","Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)","ER.H2O.FWDM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.2523145291","5.2357174328","4.8169056439","4.2859393124","3.2524069892","2.8440374304","3.9891356384","7.185828877","8.060668797","7.2494456541","8.1281203784","7.5710599113","6.9708491762","6.7613768381","6.7344098896","4.8981255094","4.9331481308","5.6288347586","5.9546763274","5.6039935139","4.0835421888","4.4231092068","4.461015607","3.6444520489","3.3002188921","3.0610561056","3.2958001151","3.1612390786","","",
"Burundi","BDI","Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)","ER.H2O.FWDM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","36","32.3252688172","29.4749403341","27.1995708155","25.3411306043","23.7946428571","22.4876441516","21.3685015291","20.3994293866","19.5521390374","18.8050314465","18.1413301663","17.5478065242","17.0138888889","16.6957614692","16.3741047606","16.0488597049","15.7199659188","15.3873616566","15.3873616566","15.3873616566","15.3873616566","15.3873616566","15.3873616566","15.3873616566","15.3873616566","15.3873616566","15.3873616566","15.3873616566","15.3873616566","15.3873616566","15.3873616566","15.3873616566","","",
"Belgium","BEL","Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)","ER.H2O.FWDM.ZS","","","","","","","","","","","","","","","","","","","","","10.9993909529","10.8650181433","10.7290810142","10.591552089","10.4524032435","10.3116056871","10.1691299431","10.0249458276","9.8790224288","9.7313280843","9.5818303587","9.4304960196","9.2772910129","9.1221804376","8.9651285189","8.8060985808","10.0407123724","11.3654096229","10.8925797273","10.4133349736","9.9275439248","10.3961159063","10.9201543485","11.1248118938","11.344195415","11.5650731035","11.65522986","11.7478648288","11.4468714075","11.7627457514","12.572067302","13.483427142","14.5174209051","15.7161234991","16.7207792208","18.5027541312","17.9179242846","16.8257383889","17.3338930093","17.3338930093","","",
"Benin","BEN","Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)","ER.H2O.FWDM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","28.1818181818","27.1909769852","26.2799348017","25.4394246801","24.6615610737","23.9395916845","23.2679503329","22.641509434","22.0558546433","21.5071283096","22.748364069","24.0462427746","25.404732254","26.8281797896","28.3213585892","29.8895212588","31.5384615385","35.8393408857","39.6317829457","43.0009149131","46.013864818","48.7242798354","51.1755485893","53.4031413613","55.4363376252","57.2995202193","59.0131578947","60.5945604048","62.0584652862","63.417498532","64.6825396825","62.7615062762","61.9658119658","61.9658119658","61.9658119658","","",
"Burkina Faso","BFA","Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)","ER.H2O.FWDM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","20.6896551724","20.4644700278","20.2568667345","20.0648635418","19.8867657466","19.7211155378","19.5628265054","19.414893617","19.7767907343","20.1050825649","20.4042422379","20.6779827316","20.9294117647","21.1611502984","32.0662895001","39.6941615535","40.5129319713","41.973513785","43.3571833016","44.6698598189","45.9168704156","45.9168704156","45.9168704156","45.9168704156","45.9168704156","45.9168704156","45.9168704156","45.9168704156","45.9168704156","45.9168704156","45.9168704156","45.9168704156","45.9168704156","45.9168704156","45.9168704156","","",
